序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
24100,20:13:05.398,0x2630380,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 86 71 42 A4 70 ED 42 
24101,20:13:05.398,0x2630395,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24102,20:13:05.398,0x26303AA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BC E8 42 
24103,20:13:05.458,0x2630629,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 9A 99 09 43 3D 0A B0 42 
24104,20:13:05.458,0x263063E,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 66 A6 BF 80 47 E1 BD 
24105,20:13:05.458,0x2630654,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A8 6D 42 A4 70 ED 42 
24106,20:13:05.458,0x2630669,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24107,20:13:05.458,0x263067E,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
24108,20:13:05.519,0x26308FD,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 A8 09 43 52 38 B0 42 
24109,20:13:05.519,0x2630912,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 70 9D BF 80 14 2E BE 
24110,20:13:05.519,0x2630927,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D2 70 42 A4 70 ED 42 
24111,20:13:05.519,0x263093C,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24112,20:13:05.519,0x2630951,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 54 E7 42 
24113,20:13:05.608,0x2630BD1,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 B5 09 43 1F 85 B0 42 
24114,20:13:05.608,0x2630BE6,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 B8 9E BF 00 00 00 BF 
24115,20:13:05.608,0x2630BFB,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 1E 70 42 A4 70 ED 42 
24116,20:13:05.608,0x2630C10,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24117,20:13:05.608,0x2630C25,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 E9 E8 42 
24118,20:13:05.668,0x2630EA4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| E1 BA 09 43 3D 8A B0 42 
24119,20:13:05.668,0x2630EB9,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 66 A6 BF 80 EB 11 BF 
24120,20:13:05.668,0x2630ECF,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 48 73 42 A4 70 ED 42 
24121,20:13:05.668,0x2630EE4,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24122,20:13:05.668,0x2630EF9,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 35 E8 42 
24123,20:13:05.728,0x2631178,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 B3 09 43 3D 8A B0 42 
24124,20:13:05.758,0x263118D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 47 A1 BF 50 B8 1E BF 
24125,20:13:05.758,0x26311A2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 72 76 42 A4 70 ED 42 
24126,20:13:05.758,0x26311B7,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24127,20:13:05.758,0x26311CC,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
24128,20:13:05.819,0x263144C,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 14 AE 09 43 7B 94 B0 42 
24129,20:13:05.819,0x2631461,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 B8 9E BF A0 99 19 BF 
24130,20:13:05.819,0x2631476,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 72 76 42 A4 70 ED 42 
24131,20:13:05.819,0x263148B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24132,20:13:05.819,0x26314A0,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 7E EA 42 
24133,20:13:05.877,0x263171F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 B5 09 43 33 B3 B0 42 
24134,20:13:05.877,0x2631734,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 7B 94 BF A0 99 19 BF 
24135,20:13:05.877,0x2631749,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A2 73 42 A4 70 ED 42 
24136,20:13:05.907,0x263175E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24137,20:13:05.907,0x2631774,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
24138,20:13:05.968,0x26319F3,ch1,接收,0x0120,数据帧,标准帧,0x08,x| AE C7 09 43 85 EB B0 42 
24139,20:13:05.968,0x2631A08,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 47 81 BF B0 47 21 BF 
24140,20:13:05.968,0x2631A1D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 26 77 42 A4 70 ED 42 
24141,20:13:05.968,0x2631A32,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24142,20:13:05.968,0x2631A47,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 AB EA 42 
24143,20:13:06.027,0x2631CC6,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 0F 0A 43 48 61 B1 42 
24144,20:13:06.027,0x2631CDC,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 1E 85 BF A0 99 59 BF 
24145,20:13:06.027,0x2631CF1,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9C 79 42 A4 70 ED 42 
24146,20:13:06.027,0x2631D06,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24147,20:13:06.027,0x2631D1B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 24 EA 42 
24148,20:13:06.118,0x2631F9A,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 45 0A 43 33 B3 B1 42 
24149,20:13:06.118,0x2631FAF,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 14 8E BF F0 28 5C BF 
24150,20:13:06.118,0x2631FC4,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 78 70 42 A4 70 ED 42 
24151,20:13:06.118,0x2631FD9,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24152,20:13:06.118,0x2631FEF,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 62 E8 42 
24153,20:13:06.177,0x263226E,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B 54 0A 43 EC D1 B1 42 
