序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
16422,="20:03:43.048",0x20D4F9F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BC E8 42 
16423,="20:03:43.108",0x20D5220,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 AB 04 43 AE C7 B6 42 
16424,="20:03:43.108",0x20D5235,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D8 A3 40 C1 C3 F5 D0 C1 
16425,="20:03:43.108",0x20D524A,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 4C 60 42 00 80 ED 42 
16426,="20:03:43.108",0x20D5260,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16427,="20:03:43.108",0x20D5275,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
16428,="20:03:43.168",0x20D54F6,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 26 04 43 F6 A8 B5 42 
16429,="20:03:43.168",0x20D550B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 90 C2 3D C1 EC 51 D0 C1 
16430,="20:03:43.168",0x20D5520,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 5A 61 42 00 80 ED 42 
16431,="20:03:43.168",0x20D5535,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16432,="20:03:43.168",0x20D554A,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
16433,="20:03:43.229",0x20D57CB,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 B3 03 43 CD CC B4 42 
16434,="20:03:43.258",0x20D57E0,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 68 66 3E C1 1F 85 D1 C1 
16435,="20:03:43.258",0x20D57F6,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 60 5B 42 00 80 ED 42 
16436,="20:03:43.258",0x20D580B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16437,="20:03:43.258",0x20D5820,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 84 E4 42 
16438,="20:03:43.318",0x20D5AA1,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 4F 03 43 3D 0A B4 42 
16439,="20:03:43.318",0x20D5AB6,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 68 66 3E C1 85 EB D1 C1 
16440,="20:03:43.318",0x20D5ACB,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9E 59 42 00 80 ED 42 
16441,="20:03:43.318",0x20D5AE0,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16442,="20:03:43.318",0x20D5AF5,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BF E5 42 
16443,="20:03:43.378",0x20D5D76,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 9A 19 03 43 C3 75 B3 42 
16444,="20:03:43.378",0x20D5D8B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D 3E C1 1F 85 D1 C1 
16445,="20:03:43.378",0x20D5DA1,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 14 5C 42 00 80 ED 42 
16446,="20:03:43.408",0x20D5DB6,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16447,="20:03:43.408",0x20D5DCB,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 EC E5 42 
16448,="20:03:43.468",0x20D604C,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 8F 02 03 43 CD 4C B3 42 
16449,="20:03:43.468",0x20D6061,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 78 14 3E C1 7B 14 D2 C1 
16450,="20:03:43.468",0x20D6076,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 52 5A 42 00 80 ED 42 
16451,="20:03:43.468",0x20D608B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16452,="20:03:43.468",0x20D60A0,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 B1 E4 42 
16453,="20:03:43.528",0x20D6321,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B D4 02 43 5C 0F B3 42 
16454,="20:03:43.528",0x20D6337,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 60 8F 3E C1 5C 8F D2 C1 
16455,="20:03:43.528",0x20D634C,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 68 62 42 00 80 ED 42 
16456,="20:03:43.528",0x20D6361,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16457,="20:03:43.528",0x20D6376,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 BC E8 42 
16458,="20:03:43.618",0x20D65F7,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 BD 02 43 48 E1 B2 42 
16459,="20:03:43.618",0x20D660C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 CC 40 C1 52 B8 D2 C1 
16460,="20:03:43.618",0x20D6621,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 00 61 42 00 80 ED 42 
16461,="20:03:43.618",0x20D6636,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16462,="20:03:43.618",0x20D664B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 DB E7 42 
16463,="20:03:43.678",0x20D68CC,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 AB 02 43 8F C2 B2 42 
16464,="20:03:43.678",0x20D68E2,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 88 EB 41 C1 5C 8F D2 C1 
16465,="20:03:43.678",0x20D68F7,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 44 59 42 00 80 ED 42 
16466,="20:03:43.678",0x20D690C,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16467,="20:03:43.678",0x20D6921,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 0B E5 42 
16468,="20:03:43.738",0x20D6BA2,ch1,接收,0x0120,数据帧,标准帧,0x08,x| D7 A3 02 43 33 B3 B2 42 
16469,="20:03:43.768",0x20D6BB7,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 20 85 43 C1 D7 A3 D2 C1 
16470,="20:03:43.768",0x20D6BCC,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C8 5C 42 00 80 ED 42 
16471,="20:03:43.768",0x20D6BE1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16472,="20:03:43.768",0x20D6BF7,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 27 E7 42 
16473,="20:03:43.828",0x20D6E78,ch1,接收,0x0120,数据帧,标准帧,0x08,x| AE 87 02 43 1F 85 B2 42 
16474,="20:03:43.828",0x20D6E8D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| B0 47 45 C1 33 33 D3 C1 
16475,="20:03:43.828",0x20D6EA2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 7C 5D 42 00 80 ED 42 
16476,="20:03:43.828",0x20D6EB7,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16477,="20:03:43.828",0x20D6ECC,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
16478,="20:03:43.889",0x20D714D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 68 02 43 8F 42 B2 42 
16479,="20:03:43.889",0x20D7162,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D8 A3 48 C1 B8 1E D3 C1 
16480,="20:03:43.889",0x20D7177,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 3E 5F 42 00 80 ED 42 
16481,="20:03:43.889",0x20D718D,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 0A D7 F3 C1 
16482,="20:03:43.918",0x20D71A2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
