序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
18330,20:05:17.159,0x21BA7FF,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CA 69 42 00 80 ED 42 
18331,20:05:17.159,0x21BA814,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18332,20:05:17.159,0x21BA829,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 8F E8 42 
18333,20:05:17.218,0x21BAAA9,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 48 21 0A 43 00 80 B8 42 
18334,20:05:17.218,0x21BAABE,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE 8F C0 EC 51 AA C1 
18335,20:05:17.248,0x21BAAD3,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 FA 66 42 00 80 ED 42 
18336,20:05:17.248,0x21BAAE8,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18337,20:05:17.248,0x21BAAFE,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 57 E4 42 
18338,20:05:17.308,0x21BAD7E,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 29 1C 0A 43 1F 85 B8 42 
18339,20:05:17.308,0x21BAD93,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 20 85 A3 C0 33 33 AD C1 
18340,20:05:17.308,0x21BADA8,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 B6 6E 42 00 80 ED 42 
18341,20:05:17.308,0x21BADBD,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18342,20:05:17.308,0x21BADD2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CA E9 42 
18343,20:05:17.367,0x21BB052,ch1,接收,0x0120,数据帧,标准帧,0x08,x| EC 11 0A 43 3D 8A B8 42 
18344,20:05:17.367,0x21BB068,ch1,接收,0x0121,数据帧,标准帧,0x08,x| E0 7A AC C0 A4 70 B1 C1 
18345,20:05:17.367,0x21BB07D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 10 6F 42 00 80 ED 42 
18346,20:05:17.367,0x21BB092,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18347,20:05:17.398,0x21BB0A7,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
18348,20:05:17.457,0x21BB327,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 E6 09 43 9A 99 B8 42 
18349,20:05:17.457,0x21BB33C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| A0 70 AD C0 C2 F5 B4 C1 
18350,20:05:17.457,0x21BB351,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9A 6C 42 00 80 ED 42 
18351,20:05:17.457,0x21BB366,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18352,20:05:17.457,0x21BB37C,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 73 E6 42 
18353,20:05:17.517,0x21BB5FC,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 8F C2 09 43 1F 85 B8 42 
18354,20:05:17.517,0x21BB611,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 F5 B0 C0 52 B8 B4 C1 
18355,20:05:17.517,0x21BB626,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 5C 6E 42 00 80 ED 42 
18356,20:05:17.517,0x21BB63B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18357,20:05:17.517,0x21BB650,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 DB E7 42 
18358,20:05:17.607,0x21BB8D0,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 B0 09 43 A4 70 B8 42 
