序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
20768,="20:10:38.638",0x24CA5D0,ch1,接收,0x0120,数据帧,标准帧,0x08,x| EC D1 F6 42 D7 A3 97 42 
20769,="20:10:38.638",0x24CA5E5,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 60 66 EE C0 EC 51 80 C0 
20770,="20:10:38.638",0x24CA5FA,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 62 3B 42 C3 75 ED 42 
20771,="20:10:38.638",0x24CA610,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20772,="20:10:38.638",0x24CA625,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 CA E9 42 
20773,="20:10:38.698",0x24CA8A4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 29 DC F6 42 D7 A3 97 42 
20774,="20:10:38.698",0x24CA8B9,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 00 F0 C0 EC 51 68 C0 
20775,="20:10:38.698",0x24CA8CE,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 86 44 42 C3 75 ED 42 
20776,="20:10:38.698",0x24CA8E3,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20777,="20:10:38.698",0x24CA8F8,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 CA E9 42 
20778,="20:10:38.759",0x24CAB77,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 48 61 F6 42 EC 51 97 42 
20779,="20:10:38.759",0x24CAB8D,ch1,接收,0x0121,数据帧,标准帧,0x08,x| E0 7A F4 C0 CC CC 5C C0 
20780,="20:10:38.788",0x24CABA2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 CA 3C 42 C3 75 ED 42 
20781,="20:10:38.788",0x24CABB7,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20782,="20:10:38.788",0x24CABCC,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 FA E6 42 
20783,="20:10:38.848",0x24CAE4B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 0F F6 42 00 00 97 42 
20784,="20:10:38.848",0x24CAE60,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE F7 C0 3E 0A 57 C0 
20785,="20:10:38.848",0x24CAE75,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9A 3F 42 C3 75 ED 42 
20786,="20:10:38.848",0x24CAE8B,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
